sensor_index,name,location_type,model,hardware,latitude,longitude
278863,Rio Balsas,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.662691,-100.37312
278869,Veredalta,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.638226,-100.3525
278871,Parroquia Reina de Los Ángeles,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.636341,-100.36872
278875,Secretaría de Relaciones Exteriores,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.667723,-100.38136
278883,Mater International Institute,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.641127,-100.362755
278889,Chipinque Meseta,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.607624,-100.355156
278901,OFICINAS SAN PEDRO PARQUES,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.644024,-100.376305
278919,Residencia Tabachín,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.630367,-100.34808
278929,Rio Caura,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.659946,-100.38283
278931,Residencia Platon,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.630522,-100.36023
278937,Residencia Saqqara,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.652473,-100.349236
278939,Residencia Rio Rosas,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.656303,-100.36027
278951,Parque El Capitán,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.663504,-100.35734
